"glottocode","iso_code","language_name","CLF","longitude","latitude","area","continent","status","family","source"
"maru1249","mhx","Maru",TRUE,99.8338,24.942535,"Eurasia","Asia","not endangered","Sino-Tibetan",NA
"marw1260","rwr","Marwari (India)",FALSE,75.0656,27.002,"Eurasia","Asia","not endangered","Indo-European","mukherjee_kakali_marwari_2011"
"masa1299","myx","Masaaba",FALSE,34.2829,1.05906,"Africa","Africa","not endangered","Atlantic-Congo","purvis_john_b_manual_1907"
"masa1300","mas","Masai",FALSE,36.4573,-3.1419,"Africa","Africa","extinct","Nilotic","levergood_barbara_jo_topics_1987"
"masb1238","msb","Masbatenyo",FALSE,123.63579,12.21453,"Papunesia","Asia","not endangered","Austronesian","rosero_michael_wilson_i_grammatical_2014"
"mask1242","klv","Maskelynes",FALSE,167.818,-16.5073,"Papunesia","Pacific","not endangered","Austronesian","healey_david_stephen_grammar_2013"
"matb1237","xmt","Matbat",TRUE,130.075,-1.8801,"Papunesia","Asia","threatened","Austronesian","ewing_east_2010"
"mati1250","mbt","Matigsalug Manobo",FALSE,125.16,7.72124,"Papunesia","Asia","not endangered","Austronesian","wang_peter_grammar_2006"
"mato1252","met","Mato",FALSE,146.859,-5.91639,"Papunesia","Pacific","not endangered","Austronesian","stober_mato_2013"
"mats1244","mcf","Matsés",FALSE,-72.6281,-5.73914,"South America","Americas","shifting","Pano-Tacanan","fleck_david_w_grammar_2003"
"matt1238","mvb","Mattole",FALSE,-122.863,40.4321,"North America","Americas","extinct","Athabaskan-Eyak-Tlingit","li_fang-kuei_mattole_1930"
"matu1259","mgw","Matumbi",FALSE,39.0409,-8.53734,"Africa","Africa","not endangered","Atlantic-Congo","odden_phonology_1996"
"maun1240","mph","Mawng",FALSE,133.185,-11.8393,"Australia","Pacific","threatened","Iwaidjan Proper","singer_ruth_agreement_2006"
"mauw1238","mhl","Mauwake",FALSE,145.394,-4.52416,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","berghall_liisa_grammar_2015"
"maxa1247","mbl","Maxakalí",FALSE,-40.7891,-16.9402,"South America","Americas","shifting","Nuclear-Macro-Je","popovich_harold_a_maxakali-english_2005"
"mayo1261","mdm","Mayogo",FALSE,27.8282,2.79827,"Africa","Africa","not endangered","Atlantic-Congo","sawka_kenneth_stanley_aspects_2001"
"mayo1264","mfy","Mayo",FALSE,-108.981,26.4522,"North America","Americas","threatened","Uto-Aztecan","villanueva_rosario_melina_rodriguez_nominal_2012"
"maza1291","mzn","Mazanderani",TRUE,52.3009,36.241,"Eurasia","Asia","not endangered","Indo-European",NA
"mbab1239","vmb","Mbabaram",FALSE,143.438,-20.1389,"Australia","Pacific","extinct","Pama-Nyungan","dixon_r_m_w_mbabaram_1991"
"mbal1255","lnb","Mbalanhu",FALSE,16.617,-19.593,"Africa","Africa","threatened","Atlantic-Congo","fourie_mbalanhu_1993"
"mbar1253","zmv","Rimanggudhinma",FALSE,143.789,-14.529,"Australia","Pacific","nearly extinct","Pama-Nyungan","godman_irene_sketch_1993"
"mbay1241","myb","Mbay",FALSE,15.7328,8.23066,"Africa","Africa","not endangered","Central Sudanic","keegan_reference_1997"
"mbee1249","mfo","Mbe",FALSE,8.82998,6.57067,"Africa","Africa","not endangered","Atlantic-Congo","pohlig_james_mbe_1981"
"mbos1242","mdw","Mbosi",FALSE,15.5322,-1.23019,"Africa","Africa","not endangered","Atlantic-Congo","ndongo_ibara_yvon_pierre_syntax_2003"
"mbre1244","mka","Mbre",FALSE,-5.72944,8.20929,"Africa","Africa","shifting","Atlantic-Congo","heath_jeffrey_grammar_2019"
"mbug1242","mgz","Mbugwe",FALSE,35.8133,-3.75763,"Africa","Africa","threatened","Atlantic-Congo","wilhelmsen_vera_mbugwe_2019"
"mbuk1240","mhw","Mbukushu",FALSE,22.5026,-17.6827,"Africa","Africa","not endangered","Atlantic-Congo","fisch_thimbukushu_1998"
"mbuk1243","mqb","Mbuko",FALSE,14.1677,10.7788,"Africa","Africa","not endangered","Afro-Asiatic","gravina_richard_verb_2001"
"mbuk1244",NA,"Mbuk",FALSE,NA,NA,NA,NA,NA,"Atlantic-Congo","tschonghongei_nelson_c_mbuk_2018"
"mbul1263","mna","Mbula",FALSE,148.041,-5.66965,"Papunesia","Pacific","not endangered","Austronesian",NA
"meen1242","mym","Me'en",FALSE,35.6255,6.63207,"Africa","Africa","shifting","Surmic","joswig_andreas_brief_2011"
"mehe1243","nux","Mehek",FALSE,142.498,-3.70927,"Papunesia","Pacific","shifting","Sepik","hatfield_adam_grammar_2016"
"mehr1241","gdq","Mehri",FALSE,51.1512,21.4268,"Eurasia","Asia","not endangered","Afro-Asiatic","rubin_aaron_d_mehri_2019"
"meke1243","mek","Mekeo",FALSE,146.586,-8.23853,"Papunesia","Pacific","not endangered","Austronesian","amala_arthur_tentative_2015"
"mele1250","mxe","Mele-Fila",FALSE,168.275,-17.6841,"Papunesia","Pacific","not endangered","Austronesian","clark_ross_ifira-mele_2002"
"melo1242","mfx","Melo",FALSE,36.811,6.53916,"Africa","Africa","threatened","Ta-Ne-Omotic","tesfu_mahder_morphology_2003"
"melp1238","med","Melpa",FALSE,144.34,-5.62644,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","berthold_falko_sketch_2008"
"mend1266","men","Mende (Sierra Leone)",FALSE,-10.9926,7.90935,"Africa","Africa","not endangered","Mande","spears_richard_alan_basic_1967"
"mend1268","sim","Mende (Papua New Guinea)",FALSE,142.683,-3.67233,"Papunesia","Pacific","shifting","Sepik","hoel_hanna_marie_mende_1994"
"meno1252","mez","Menominee",TRUE,-88.6395,44.9794,"North America","Americas","moribund","Algic",NA
"meny1245","mcr","Menya",FALSE,146.071,-7.17425,"Papunesia","Pacific","not endangered","Angan","whitehead_carl_r_reference_2004"
"mere1242","lmb","Merei",FALSE,166.905,-15.2839,"Papunesia","Pacific","shifting","Austronesian","chung_descriptive_2005"
"meri1244","ulk","Meriam",FALSE,143.773,-9.59575,"Papunesia","Pacific","shifting","Eastern Trans-Fly","piper_nick_sketch_1989"
"meru1245","mer","Meru",FALSE,37.7396,0.26484,"Africa","Africa","not endangered","Atlantic-Congo","kinoti_cyprian_a_kemeero_1984"
"mesa1245","iyo","Mesaka",FALSE,9.8723,6.32679,"Africa","Africa","not endangered","Atlantic-Congo","cassetta_peter_ugare_1994"
"mesc1238","apm","Mescalero-Chiricahua Apache",FALSE,-105.566,33.1291,"North America","Americas","shifting","Athabaskan-Eyak-Tlingit","hoijer_harry_chiricahua_1946"
"mesk1242","sac","Meskwaki",FALSE,-94,40,"North America","Americas","moribund","Algic","thomason_lucy_grey_proximate_2003"
"meso1252","acm","Gilit Mesopotamian Arabic",FALSE,43.1095,33.8178,"Eurasia","Asia","not endangered","Afro-Asiatic","ingham_bruce_khuzestan_2006"
"mesq1240","mvz","Mesqan",FALSE,38.3386,8.10617,"Africa","Africa","not endangered","Afro-Asiatic","shafi_ousman_mesqan_2016"
"meta1238","mgo","Meta'",FALSE,9.87416,5.88942,"Africa","Africa","not endangered","Atlantic-Congo","fogwe_chibaka_grammatical_2006"
"mewa1249","mtr","Mewari",FALSE,73.68,24.57,"Eurasia","Asia","not endangered","Indo-European","gusain_mewari_2013"
"mewa1250","wtm","Mewati",TRUE,76.947,27.736,"Eurasia","Asia","not endangered","Indo-European",NA
"meya1236","mej","Meyah",TRUE,133.618,-1.18016,"Papunesia","Asia","not endangered","East Bird's Head","gravelle_meyah_2004"
"mezq1235","ote","Mezquital Otomi",FALSE,-99.5564,20.2274,"North America","Americas","not endangered","Otomanguean","vollmann_sarah_s_comparative_2012"
"miam1252","mia","Miami",FALSE,-90,40,"North America","Americas","extinct","Algic","costa_miami-illinois_2003"
"mian1256","mpt","Mian",FALSE,141.523,-4.70881,"Papunesia","Pacific","shifting","Nuclear Trans New Guinea","fedden_sebastian_olcher_grammar_2011"
"mich1243","crg","Michif",FALSE,-99.9119,49.1681,"North America","Americas","nearly extinct","Mixed Language","bakker_peter_michif_2013"
"mich1245","ncl","Michoacán Nahuatl",FALSE,-103.361,18.3412,"North America","Americas","threatened","Uto-Aztecan","sischo_william_r_michoacan_1979"
"midd1317","enm","Middle English",FALSE,NA,NA,"Eurasia",NA,"extinct","Indo-European","mustanoja_middle_2016"
"midd1343","gmh","Middle High German",FALSE,NA,NA,"Eurasia",NA,"extinct","Indo-European","asher_short_1967"
"midd1344","ltc","Middle Chinese",FALSE,108.9,34.27,"Eurasia",NA,"extinct","Sino-Tibetan","pulleyblank_edwin_g_late_1970"
"midd1350",NA,"Middle Indo-Aryan",FALSE,NA,NA,"Eurasia",NA,"extinct","Indo-European","bubenik_vit_prakrits_2003"
"midd1351","xng","Middle Mongol",FALSE,NA,NA,"Eurasia",NA,"extinct","Mongolic","rybatzki_volker_middle_2003"
"midd1357","bdy","Middle Clarence Bandjalang",FALSE,152.780249,-29.042737,NA,"Pacific",NA,"Pama-Nyungan","crowley_middle_1978"
"mido1240","mei","Midob",FALSE,27.2236,14.789,"Africa","Africa","not endangered","Nubian","werner_tidn-a_1993"
